,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,Sum of TotalAmount,Column Labels,,,,
,,Row Labels,Bank Transfer,Cash,Credit Card,PayPal,Grand Total
,,8/24/2024," 200,231 "," 94,373 "," 100,487 "," 170,918 "," 566,009 "
,,8/25/2024," 136,286 "," 68,322 "," 139,680 "," 98,986 "," 443,273 "
,,8/26/2024," 244,285 "," 126,541 "," 150,432 "," 110,809 "," 632,067 "
,,8/27/2024," 252,608 "," 98,585 "," 105,627 "," 207,281 "," 664,101 "
,,8/28/2024," 69,970 "," 60,733 "," 105,770 "," 147,970 "," 384,443 "
,,8/29/2024," 58,838 "," 47,803 "," 186,141 "," 134,620 "," 427,402 "
,,8/30/2024," 142,130 "," 43,366 "," 203,662 "," 201,588 "," 590,746 "
,,8/31/2024," 57,976 "," 59,292 "," 100,910 "," 201,297 "," 419,474 "
,,9/1/2024," 202,628 "," 76,403 "," 115,836 "," 78,937 "," 473,805 "
,,9/2/2024," 132,995 "," 96,570 "," 204,482 "," 235,768 "," 669,815 "
,,9/3/2024," 132,387 "," 82,701 "," 245,196 "," 126,359 "," 586,643 "
,,9/4/2024," 131,814 "," 134,030 "," 152,793 "," 194,481 "," 613,118 "
,,9/5/2024," 163,334 "," 120,903 "," 149,250 "," 153,677 "," 587,164 "
,,9/6/2024," 173,289 "," 115,862 "," 141,234 "," 199,161 "," 629,545 "
,,9/7/2024," 159,853 "," 104,019 "," 122,061 "," 120,845 "," 506,778 "
,,9/8/2024," 135,071 "," 80,233 "," 101,367 "," 164,198 "," 480,869 "
,,9/9/2024," 177,751 "," 93,989 "," 159,571 "," 109,018 "," 540,328 "
,,9/10/2024," 147,940 "," 78,589 "," 134,792 "," 89,582 "," 450,902 "
,,9/11/2024," 145,383 "," 56,367 "," 125,482 "," 133,011 "," 460,243 "
,,9/12/2024," 143,286 "," 91,290 "," 200,637 "," 156,884 "," 592,098 "
,,9/13/2024," 150,012 "," 116,948 "," 58,360 "," 95,074 "," 420,394 "
,,9/14/2024," 203,392 "," 104,251 "," 74,742 "," 178,318 "," 560,704 "
,,9/15/2024," 180,021 "," 51,242 "," 80,677 "," 61,410 "," 373,350 "
,,9/16/2024," 183,053 "," 80,678 "," 102,930 "," 155,309 "," 521,969 "
,,9/17/2024," 95,056 "," 82,423 "," 127,263 "," 158,347 "," 463,088 "
,,9/18/2024," 156,904 "," 56,975 "," 134,017 "," 218,423 "," 566,318 "
,,9/19/2024," 128,172 "," 127,588 "," 109,119 "," 192,282 "," 557,162 "
,,9/20/2024," 235,145 "," 116,943 "," 64,323 "," 181,305 "," 597,716 "
,,9/21/2024," 150,651 "," 57,808 "," 121,874 "," 146,905 "," 477,239 "
,,9/22/2024," 179,584 "," 123,019 "," 74,174 "," 165,025 "," 541,802 "
,,Grand Total," 4,670,046 "," 2,647,844 "," 3,892,887 "," 4,587,788 "," 15,798,565 "
